Deutschkreutz;<10801>;1530;;1650
Oberpullendorf;<10816>;1593;;1693
Eisenstadt;<10101>;7600;;8129
Hornstein;<10304>;1560;;1710
Neufeld an der Leitha;<10309>;1750;;1892
Siegendorf;<10315>;1577;;1671
Steinbrunn;<10316>;1533;;1536
Mattersburg;<10606>;3616;;3898
Neudörfl;<10607>;2395;;2526
Pöttsching;<10609>;1512;;1584
Bruckneudorf;<10703>;1481;;1604
Gols;<10707>;1957;;2054
Kittsee;<10711>;1780;;1850
Neusiedl am See;<10713>;4300;;4617
Parndorf;<10717>;2613;;2713
Güssing;<10405>;1744;;1866
Jennersdorf;<10504>;2039;;2104
Großpetersdorf;<10905>;1715;;1897
Oberwart;<10917>;3727;;4271
Pinkafeld;<10918>;2876;;3063
Waidhofen an der Ybbs;<30301>;5524;;5602
Amstetten;<30502>;11783;;12119
Ardagger;<30503>;1830;;1760
Aschbach-Markt;<30504>;1885;;1925
Behamberg;<30506>;1782;;1697
Ennsdorf;<30508>;1618;;1620
Haag;<30514>;2849;;2904
Haidershofen;<30515>;1899;;1827
Neuhofen an der Ybbs;<30520>;1570;;1495
St. Peter in der Au;<30530>;2540;;2601
St. Valentin;<30531>;4745;;4629
Seitenstetten;<30532>;1734;;1691
Sonntagberg;<30533>;1838;;1875
Ybbsitz;<30543>;1705;;1639
Loosdorf;<31520>;1913;;1989
Mank;<31521>;1645;;1690
Melk;<31524>;2710;;2884
Pöchlarn;<31533>;1953;;2047
St. Leonhard am Forst;<31539>;1554;;1492
Ybbs an der Donau;<31549>;2846;;2807
Purgstall an der Erlauf;<32008>;2707;;2659
Scheibbs;<32013>;2016;;2221
Wieselburg;<32016>;2249;;2423
Wieselburg-Land;<32017>;1686;;1746
Wiener Neustadt;<30401>;23338;;24540
Berndorf;<30605>;4395;;4561
Enzesfeld-Lindabrunn;<30608>;2029;;2197
Hainfeld;<31403>;1915;;1915
St. Veit an der Gölsen;<31412>;1906;;1927
Traisen;<31413>;1662;;1752
Gloggnitz;<31810>;2810;;3085
Neunkirchen;<31818>;6171;;6643
Ternitz;<31839>;7083;;7610
Bad Erlach;<32306>;1517;;1705
Bad Fischau-Brunn;<32301>;1741;;1819
Ebenfurth;<32304>;1518;;1624
Eggendorf;<32305>;2501;;2583
Felixdorf;<32307>;2211;;2291
Katzelsdorf;<32313>;1569;;1644
Lanzenkirchen;<32316>;2093;;2184
Markt Piesting;<32319>;1534;;1611
Sollenau;<32327>;2653;;2799
Theresienfeld;<32330>;2071;;2118
Wöllersdorf-Steinabrückl;<32337>;2466;;2542
St. Pölten;<30201>;28364;;29275
Altlengbach;<31901>;1511;;1670
Böheimkirchen;<31903>;2507;;2625
Eichgraben;<31905>;2386;;2417
Herzogenburg;<31912>;3851;;4085
Kirchberg an der Pielach;<31918>;1592;;1603
Maria Anzbach;<31921>;1570;;1720
Neulengbach;<31926>;4173;;4436
Ober-Grafendorf;<31929>;2381;;2391
Pyhra;<31934>;1816;;1837
Traismauer;<31943>;3211;;3263
Wilhelmsburg;<31947>;3180;;3281
Krems an der Donau;<30101>;12350;;12921
Gmünd;<30908>;2508;;2665
Heidenreichstein;<30916>;1862;;1949
Schrems;<30935>;2570;;2703
Eggenburg;<31105>;1687;;1850
Gars am Kamp;<31106>;1732;;1756
Horn;<31109>;3071;;3431
Furth bei Göttweig;<31309>;1502;;1542
Gföhl;<31311>;1885;;1907
Grafenegg;<31308>;1608;;1671
Langenlois;<31322>;3675;;3907
Mautern an der Donau;<31327>;1618;;1800
Waidhofen an der Thaya;<32220>;2477;;2742
Groß Gerungs;<32508>;2292;;2216
Zwettl-Niederösterreich;<32530>;5241;;5461
Zistersdorf;<30863>;2665;;2810
Göllersdorf;<31008>;1644;;1585
Hollabrunn;<31022>;5941;;6321
Retz;<31037>;2140;;2139
Ziersdorf;<31053>;1677;;1711
Gaweinstal;<31612>;2022;;2098
Laa an der Thaya;<31629>;3091;;3184
Mistelbach;<31633>;5763;;6262
Poysdorf;<31644>;2782;;2903
Angern an der March;<30803>;1715;;1750
Deutsch-Wagram;<30808>;4418;;4756
Gänserndorf;<30817>;5794;;6218
Groß-Enzersdorf;<30821>;5852;;6191
Marchegg;<30835>;1516;;1583
Strasshof an der Nordbahn;<30856>;5828;;5958
Bisamberg;<31201>;2375;;2511
Ernstbrunn;<31203>;1665;;1638
Gerasdorf bei Wien;<31235>;5907;;5964
Harmannsdorf;<31207>;2021;;2082
Hausleiten;<31208>;1873;;1968
Korneuburg;<31213>;6734;;6963
Langenzersdorf;<31214>;3872;;4190
Leobendorf;<31216>;2547;;2587
Sierndorf;<31226>;1983;;1964
Stockerau;<31230>;8168;;8806
Wolkersdorf im Weinviertel;<31655>;3600;;3825
Gablitz;<31949>;2468;;2574
Mauerbach;<31950>;1733;;1857
Pressbaum;<31951>;3778;;4085
Purkersdorf;<31952>;4735;;5209
Atzenbrugg;<32104>;1643;;1722
Grafenwörth;<32107>;1572;;1719
Großweikersdorf;<32110>;1618;;1693
Kirchberg am Wagram;<32114>;1881;;1964
Klosterneuburg;<32144>;13392;;14715
Michelhausen;<32120>;2065;;2051
St. Andrä-Wördern;<32142>;3835;;4142
Sieghartskirchen;<32131>;3929;;3954
Tulbing;<32134>;1599;;1643
Tulln an der Donau;<32135>;8186;;8746
Zwentendorf an der Donau;<32141>;2098;;2083
Bad Vöslau;<30603>;5971;;6425
Baden;<30604>;12139;;13878
Ebreichsdorf;<30607>;5802;;6058
Kottingbrunn;<30618>;3626;;3842
Leobersdorf;<30620>;2574;;2685
Mitterndorf an der Fischa;<30621>;1538;;1545
Oberwaltersdorf;<30623>;2448;;2565
Pfaffstätten;<30625>;1735;;1802
Pottendorf;<30626>;3776;;3715
Traiskirchen;<30639>;9513;;9637
Trumau;<30641>;1827;;1930
Bruck an der Leitha;<30704>;4046;;4349
Ebergassing;<30729>;2048;;2080
Enzersdorf an der Fischa;<30706>;1783;;1801
Fischamend;<30730>;2750;;2964
Gramatneusiedl;<30731>;1803;;1899
Hainburg a.d. Donau;<30710>;3361;;3621
Himberg;<30732>;3949;;4045
Leopoldsdorf;<30735>;2699;;2749
Mannersdorf am Leithagebirge;<30716>;2089;;2130
Schwechat;<30740>;10539;;10627
Biedermannsdorf;<31702>;1504;;1651
Breitenfurt bei Wien;<31703>;2919;;3091
Brunn am Gebirge;<31704>;5944;;6274
Gumpoldskirchen;<31709>;1925;;2092
Guntramsdorf;<31710>;4561;;4724
Hinterbrühl;<31712>;1927;;2014
Kaltenleutgeben;<31713>;1624;;1701
Laxenburg;<31715>;1448;;1617
Maria Enzersdorf;<31716>;4148;;4682
Mödling;<31717>;9814;;10816
Münchendorf;<31718>;1556;;1632
Perchtoldsdorf;<31719>;7235;;7741
Vösendorf;<31723>;3670;;3918
Wiener Neudorf;<31725>;4654;;4923
Wien 1.,Innere Stadt;<90101>;7951;;8669
Wien 2.,Leopoldstadt;<90201>;53180;;55089
Wien 3.,Landstraße;<90301>;46384;;50372
Wien 4.,Wieden;<90401>;16326;;17307
Wien 5.,Margareten;<90501>;27428;;27590
Wien 6.,Mariahilf;<90601>;15148;;16275
Wien 7.,Neubau;<90701>;15277;;16304
Wien 8.,Josefstadt;<90801>;12092;;12582
Wien 9.,Alsergrund;<90901>;20056;;22150
Wien 10.,Favoriten;<91001>;110463;;107952
Wien 11.,Simmering;<91101>;53865;;55173
Wien 12.,Meidling;<91201>;49586;;50695
Wien 13.,Hietzing;<91301>;25956;;29612
Wien 14.,Penzing;<91401>;47312;;49516
Wien 15.,Rudolfsheim-Fünfhaus;<91501>;38663;;37446
Wien 16.,Ottakring;<91601>;51319;;51125
Wien 17.,Hernals;<91701>;27490;;28543
Wien 18.,Währing;<91801>;23935;;27624
Wien 19.,Döbling;<91901>;35301;;40216
Wien 20.,Brigittenau;<92001>;42729;;42961
Wien 21.,Floridsdorf;<92101>;89780;;94115
Wien 22.,Donaustadt;<92201>;102325;;110333
Wien 23.,Liesing;<92301>;56559;;61323
Klagenfurt am Wörther See;<20101>;49883;;54449
Villach;<20201>;31648;;33487
Ebenthal in Kärnten;<20402>;4012;;4128
Ferlach;<20405>;3670;;3670
Grafenstein;<20409>;1500;;1569
Köttmannsdorf;<20414>;1598;;1538
Krumpendorf am Wörthersee;<20415>;1654;;1834
Magdalensberg;<20442>;1803;;1852
Maria Saal;<20418>;1968;;2043
Moosburg;<20421>;2211;;2339
Poggersdorf;<20425>;1626;;1651
Arnoldstein;<20702>;3450;;3592
Finkenstein am Faaker See;<20711>;4775;;4845
Paternion;<20720>;2794;;2985
St. Jakob im Rosental;<20722>;2137;;2153
Treffen am Ossiacher See;<20724>;2258;;2361
Velden am Wörther See;<20725>;4396;;4731
Wernberg;<20727>;2733;;2880
Hermagor-Pressegger See;<20305>;3399;;3552
Kötschach-Mauthen;<20307>;1635;;1705
Millstatt am See;<20620>;1685;;1777
Radenthein;<20630>;2776;;3001
Seeboden am Millstätter See;<20634>;3176;;3469
Spittal an der Drau;<20635>;7219;;8051
Feldkirchen in Kärnten;<21002>;7042;;7392
Steindorf am Ossiacher See;<21009>;1891;;1961
Althofen;<20501>;2364;;2462
Frauenstein;<20534>;1756;;1799
Friesach;<20505>;2353;;2548
Liebenfels;<20515>;1700;;1705
St. Georgen am Längsee;<20523>;1765;;1859
St. Veit an der Glan;<20527>;5800;;6455
Bleiburg;<20801>;2073;;2030
Eberndorf;<20803>;2928;;2986
Griffen;<20808>;1709;;1708
St. Kanzian am Klopeiner See;<20813>;2221;;2357
Völkermarkt;<20817>;5360;;5617
Bad St. Leonhard im Lavanttal;<20901>;2186;;2103
St. Andrä;<20913>;4949;;4890
St. Paul im Lavanttal;<20918>;1577;;1602
Wolfsberg;<20923>;12396;;12737
Graz;<60101>;147702;;150777
Deutschfeistritz;<60659>;2210;;2302
Dobl-Zwaring;<60660>;1889;;1894
Eggersdorf bei Graz;<60661>;3601;;3592
Feldkirchen bei Graz;<60608>;3605;;3656
Fernitz-Mellach;<60662>;2390;;2536
Frohnleiten;<60663>;3217;;3416
Gössendorf;<60611>;2075;;2102
Gratkorn;<60613>;4182;;4188
Gratwein-Straßengel;<60664>;6278;;6492
Hart bei Graz;<60617>;2670;;2766
Hausmannstätten;<60619>;1862;;1921
Hitzendorf;<60665>;3659;;3677
Kalsdorf bei Graz;<60624>;4137;;4171
Kumberg;<60626>;1958;;2002
Lieboch;<60629>;2648;;2856
Raaba-Grambach;<60667>;2406;;2542
Sankt Marein bei Graz;<60668>;1862;;1887
Seiersberg-Pirka;<60669>;5937;;6175
Semriach;<60645>;1626;;1583
Stattegg;<60646>;1469;;1550
Unterpremstätten-Zettling;<60670>;3478;;3384
Vasoldsberg;<60653>;2376;;2389
Admont;<61253>;2404;;2587
Bad Aussee;<61207>;2379;;2637
Bad Mitterndorf;<61255>;2471;;2475
Gröbming;<61213>;1506;;1638
Irdning-Donnersbachtal;<61257>;2026;;2116
Liezen;<61259>;3955;;4296
Rottenmann;<61263>;2543;;2575
Schladming;<61265>;3153;;3400
Trieben;<61247>;1615;;1697
Eisenerz;<61101>;1663;;1838
Leoben;<61108>;12759;;12381
Sankt Michael in Obersteiermark;<61113>;1539;;1577
Trofaiach;<61120>;5327;;5676
Bruck an der Mur;<62139>;7716;;8254
Kapfenberg;<62140>;10926;;11256
Kindberg;<62141>;4045;;4138
Krieglach;<62115>;2626;;2777
Langenwang;<62116>;1910;;1962
Mariazell;<62142>;1778;;1940
Mürzzuschlag;<62143>;3902;;4145
Sankt Barbara im Mürztal;<62145>;3182;;3336
Sankt Lorenzen im Mürztal;<62128>;1876;;1908
Anger;<61756>;2020;;2009
Birkfeld;<61757>;2462;;2522
Gleisdorf;<61760>;5521;;5841
Passail;<61763>;2242;;2175
Pischelsdorf am Kulm;<61764>;1857;;1892
St. Margarethen an der Raab;<61746>;2109;;2103
Sankt Ruprecht an der Raab;<61765>;2835;;2838
Sinabelkirchen;<61748>;2287;;2200
Weiz;<61766>;5833;;6119
Bad Waltersdorf;<62264>;1959;;1938
Fürstenfeld;<62267>;4216;;4632
Grafendorf bei Hartberg;<62268>;1638;;1597
Hartberg;<62219>;3159;;3605
Ilz;<62271>;1871;;1883
Kaindorf;<62272>;1518;;1504
Pinggau;<62233>;1605;;1523
Pöllau;<62275>;2951;;3007
Vorau;<62278>;2295;;2365
Bad Gleichenberg;<62375>;2526;;2777
Bad Radkersburg;<62376>;1520;;1715
Fehring;<62378>;3577;;3668
Feldbach;<62379>;6506;;6915
Gnas;<62380>;3016;;2964
Kirchbach in der Steiermark;<62381>;1621;;1582
Kirchberg an der Raab;<62382>;2296;;2292
Mureck;<62383>;1764;;1730
Paldau;<62384>;1536;;1600
Riegersburg;<62386>;2538;;2503
Sankt Stefan im Rosental;<62389>;1925;;1887
Straden;<62390>;1760;;1710
Bad Schwanberg;<60349>;2221;;2251
Deutschlandsberg;<60344>;5684;;6037
Eibiswald;<60345>;3195;;3114
Frauental an der Laßnitz;<60305>;1554;;1581
Groß Sankt Florian;<60346>;2039;;2053
Lannach;<60318>;1833;;1816
Sankt Martin im Sulmtal;<60347>;1520;;1504
Sankt Stefan ob Stainz;<60348>;1820;;1802
Stainz;<60350>;4212;;4463
Wies;<60351>;2160;;2123
Gamlitz;<61050>;1616;;1596
Leibnitz;<61053>;6351;;6663
Leutschach an der Weinstraße;<61054>;1785;;1758
Sankt Veit in der Südsteiermark;<61060>;2284;;2205
Straß in Steiermark;<61061>;3223;;3183
Tillmitsch;<61043>;1855;;1892
Wagna;<61045>;3140;;3335
Wildon;<61059>;2802;;2936
Bärnbach;<61626>;2825;;2950
Köflach;<61631>;4631;;5008
Ligist;<61612>;1581;;1664
Söding-Sankt Johann;<61633>;2087;;2185
Stallhofen;<61624>;1581;;1612
Voitsberg;<61625>;4586;;4952
Murau;<61438>;1614;;1834
Neumarkt in der Steiermark;<61439>;2404;;2516
Fohnsdorf;<62007>;3613;;3953
Judenburg;<62040>;4639;;4975
Knittelfeld;<62041>;6331;;6450
Obdach;<62042>;1883;;1898
Spielberg;<62047>;2642;;2706
Weißkirchen in Steiermark;<62048>;2382;;2443
Zeltweg;<62038>;3603;;3511
Altheim;<40401>;2506;;2558
Braunau am Inn;<40404>;8811;;8761
Helpfau-Uttendorf;<40413>;2024;;1873
Hochburg-Ach;<40414>;1730;;1673
Lengau;<40418>;2550;;2530
Mattighofen;<40421>;3675;;3723
Munderfing;<40426>;1533;;1508
Ostermiething;<40428>;1682;;1743
St. Pantaleon;<40437>;1631;;1600
Schalchen;<40441>;2102;;2024
Bad Schallerbach;<40802>;2184;;2277
Gaspoltshofen;<40806>;1794;;1804
Grieskirchen;<40808>;2410;;2694
Peuerbach;<40835>;2348;;2349
Schlüßlberg;<40827>;1535;;1546
Waizenkirchen;<40831>;1889;;1914
Wallern an der Trattnach;<40832>;1548;;1596
Aurolzmünster;<41203>;1558;;1643
Eberschwang;<41204>;1737;;1738
Ried im Innkreis;<41225>;6126;;6356
Andorf;<41402>;2593;;2583
St. Florian am Inn;<41418>;1567;;1620
Schärding;<41422>;2568;;2783
Linz;<40101>;102644;;107474
Wels;<40301>;31960;;32425
Alkoven;<40501>;3093;;3095
Eferding;<40503>;2043;;2253
Hartkirchen;<40506>;1969;;2038
Ansfelden;<41002>;9183;;8962
Asten;<41003>;3483;;3370
Enns;<41005>;6065;;6111
Hörsching;<41007>;3364;;3284
Kematen an der Krems;<41009>;1543;;1550
Kronstorf;<41011>;1777;;1794
Leonding;<41012>;14058;;15071
Neuhofen an der Krems;<41014>;3370;;3502
Pasching;<41017>;3836;;3814
Pucking;<41019>;2128;;2068
St. Florian;<41013>;3142;;3237
St. Marien;<41020>;2492;;2497
Traun;<41021>;12535;;12471
Wilhering;<41022>;3044;;3000
Alberndorf in der Riedmark;<41601>;2135;;2084
Altenberg bei Linz;<41602>;2384;;2356
Engerwitzdorf;<41605>;4535;;4557
Feldkirchen an der Donau;<41606>;2719;;2785
Gallneukirchen;<41607>;3197;;3446
Gramastetten;<41609>;2516;;2579
Ottensheim;<41617>;2286;;2485
Puchenau;<41618>;2216;;2436
Steyregg;<41624>;2635;;2472
Walding;<41626>;2115;;2228
Buchkirchen;<41804>;2039;;2028
Gunskirchen;<41808>;3296;;3236
Krenglbach;<41810>;1583;;1655
Lambach;<41811>;1920;;1968
Marchtrenk;<41812>;7390;;7213
Stadl-Paura;<41820>;2452;;2631
Thalheim bei Wels;<41823>;2684;;2846
Weißkirchen an der Traun;<41824>;1828;;1719
Freistadt;<40601>;3975;;4205
Königswiesen;<40608>;1575;;1532
Neumarkt im Mühlkreis;<40612>;1620;;1613
Pregarten;<40614>;2769;;2802
Rainbach im Mühlkreis;<40615>;1540;;1515
St. Oswald bei Freistadt;<40618>;1557;;1484
Tragwein;<40620>;1624;;1542
Wartberg ob der Aist;<40624>;2244;;2208
Katsdorf;<41106>;1610;;1679
Luftenberg an der Donau;<41110>;2158;;2167
Mauthausen;<41111>;2410;;2489
Naarn im Machlande;<41114>;1928;;1909
Perg;<41116>;4579;;4727
Ried in der Riedmark;<41118>;2215;;2152
St. Georgen an der Gusen;<41120>;2160;;2264
Schwertberg;<41124>;2686;;2736
Aigen-Schlägl;<41343>;1593;;1632
Rohrbach-Berg;<41344>;2567;;2672
St. Martin im Mühlkreis;<41332>;1935;;1877
Bad Leonfelden;<41603>;2183;;2221
Oberneukirchen;<41615>;1640;;1606
Steyr;<40201>;18535;;19382
Grünburg;<40902>;1981;;1902
Kirchdorf an der Krems;<40905>;2360;;2571
Kremsmünster;<40907>;3381;;3482
Micheldorf in Oberösterreich;<40908>;3065;;2947
Molln;<40909>;1884;;1812
Pettenbach;<40912>;2723;;2688
Bad Hall;<41503>;2789;;2957
Dietach;<41504>;1705;;1705
Garsten;<41506>;3358;;3332
St. Ulrich bei Steyr;<41514>;1562;;1606
Sierning;<41516>;4805;;4917
Ternberg;<41517>;1710;;1679
Weyer;<41522>;2015;;2025
Wolfern;<41521>;1659;;1713
Altmünster;<40701>;4804;;5111
Bad Goisern am Hallstädtersee;<40702>;3727;;3861
Bad Ischl;<40703>;6788;;7440
Ebensee am Traunsee;<40704>;3665;;3836
Gmunden;<40705>;6246;;7114
Laakirchen;<40711>;4892;;4921
Ohlsdorf;<40713>;2784;;2624
Pinsdorf;<40714>;2133;;2199
Scharnstein;<40719>;2472;;2483
Vorchdorf;<40720>;3906;;3839
Ampflwang im Hausruckwald;<41701>;1701;;1666
Attnang-Puchheim;<41703>;4604;;4597
Frankenburg am Hausruck;<41709>;2739;;2463
Frankenmarkt;<41710>;1877;;1927
Gampern;<41711>;1596;;1529
Lenzing;<41713>;2574;;2652
Mondsee;<41715>;2064;;2059
Ottnang am Hausruck;<41722>;2067;;2001
Regau;<41731>;3599;;3422
St. Georgen im Attergau;<41734>;2409;;2292
Schörfling am Attersee;<41737>;1719;;1772
Schwanenstadt;<41738>;2262;;2387
Seewalchen am Attersee;<41739>;2786;;2975
Tiefgraben;<41742>;2068;;2035
Timelkam;<41743>;3010;;3000
Vöcklabruck;<41746>;6115;;6654
Vöcklamarkt;<41747>;2587;;2590
St. Michael im Lungau;<50509>;1744;;1795
Tamsweg;<50510>;2753;;3004
Altenmarkt im Pongau;<50401>;2302;;2389
Bad Gastein;<50403>;1925;;2051
Bad Hofgastein;<50402>;3260;;3515
Bischofshofen;<50404>;5188;;5470
Flachau;<50408>;1548;;1502
Großarl;<50411>;1958;;1826
Radstadt;<50417>;2448;;2499
St. Johann im Pongau;<50418>;5604;;5848
St. Veit im Pongau;<50420>;1923;;1984
Schwarzach im Pongau;<50421>;1683;;1837
Wagrain;<50423>;1585;;1596
Werfen;<50424>;1572;;1517
Bramberg am Wildkogel;<50601>;2002;;2029
Bruck an der Großglocknerstraße;<50602>;2485;;2505
Kaprun;<50606>;1525;;1604
Leogang;<50609>;1765;;1768
Maishofen;<50611>;1793;;1873
Mittersill;<50613>;2863;;2941
Piesendorf;<50616>;1911;;1940
Rauris;<50617>;1513;;1582
Saalfelden am Steinernen Meer;<50619>;8398;;8725
Uttendorf;<50624>;1511;;1540
Zell am See;<50628>;4925;;5288
Salzburg;<50101>;75140;;81479
Abtenau;<50201>;2999;;3004
Adnet;<50202>;1832;;1848
Golling an der Salzach;<50204>;2157;;2240
Hallein;<50205>;10489;;11034
Kuchl;<50207>;3637;;3838
Oberalm;<50208>;2095;;2286
Puch bei Hallein;<50209>;2493;;2472
Anif;<50301>;2049;;2237
Anthering;<50302>;1858;;1890
Bergheim;<50303>;3067;;2788
Bürmoos;<50305>;2475;;2552
Elixhausen;<50308>;1560;;1568
Elsbethen;<50309>;2648;;2859
Eugendorf;<50310>;3532;;3667
Faistenau;<50311>;1564;;1536
Grödig;<50314>;3534;;3874
Hallwang;<50316>;2118;;2117
Henndorf am Wallersee;<50317>;2496;;2582
Hof bei Salzburg;<50319>;1809;;1821
Koppl;<50321>;1852;;1827
Lamprechtshausen;<50322>;2037;;2041
Mattsee;<50323>;1683;;1816
Neumarkt am Wallersee;<50324>;3285;;3341
Oberndorf bei Salzburg;<50326>;2924;;3134
Obertrum am See;<50327>;2494;;2464
St. Georgen bei Salzburg;<50329>;1558;;1523
St. Gilgen;<50330>;1984;;2092
Seekirchen am Wallersee;<50339>;5476;;5757
Straßwalchen;<50335>;4015;;3996
Strobl;<50336>;1811;;1880
Thalgau;<50337>;3029;;3001
Wals-Siezenheim;<50338>;6820;;7426
Reutte;<70828>;3533;;3630
Innsbruck;<70101>;64545;;66813
Absam;<70301>;3561;;3768
Axams;<70304>;3055;;3196
Fulpmes;<70310>;2283;;2277
Götzens;<70312>;2024;;2119
Hall in Tirol;<70354>;6989;;7429
Inzing;<70319>;2011;;2007
Kematen in Tirol;<70320>;1581;;1648
Matrei am Brenner;<70370>;1748;;1797
Mils;<70329>;2303;;2313
Neustift im Stubaital;<70334>;2468;;2544
Oberperfuss;<70337>;1559;;1526
Rum;<70346>;4492;;4889
Seefeld in Tirol;<70351>;1748;;1848
Steinach am Brenner;<70355>;1854;;1830
Telfs;<70357>;8059;;8212
Thaur;<70358>;2095;;2205
Volders;<70365>;2277;;2253
Völs;<70364>;3505;;3681
Wattens;<70367>;3920;;4253
Zirl;<70369>;4026;;4198
Lienz;<70716>;5584;;6406
Matrei in Osttirol;<70717>;2315;;2299
Nußdorf-Debant;<70719>;1668;;1742
Arzl im Pitztal;<70201>;1559;;1584
Haiming;<70202>;2429;;2456
Imst;<70203>;5464;;5671
Längenfeld;<70208>;2435;;2458
Mieming;<70209>;1921;;2033
Sölden;<70220>;1546;;1541
Umhausen;<70223>;1748;;1706
Fließ;<70604>;1597;;1537
Landeck;<70614>;3687;;3892
Zams;<70630>;1730;;1883
Fieberbrunn;<70403>;2339;;2242
Hopfgarten im Brixental;<70406>;2835;;2920
Kirchberg in Tirol;<70409>;2573;;2731
Kirchdorf in Tirol;<70410>;2040;;2037
Kitzbühel;<70411>;3886;;4403
Kössen;<70412>;2213;;2316
St. Johann in Tirol;<70416>;4744;;5141
Westendorf;<70420>;1799;;1872
Breitenbach am Inn;<70505>;1764;;1751
Brixlegg;<70506>;1479;;1580
Ebbs;<70508>;2891;;2983
Kirchbichl;<70511>;2933;;3050
Kramsach;<70512>;2460;;2581
Kufstein;<70513>;9685;;10245
Kundl;<70514>;2398;;2493
Langkampfen;<70515>;2100;;2141
Münster;<70517>;1767;;1792
Söll;<70526>;1882;;1858
Thiersee;<70527>;1604;;1558
Wildschönau;<70530>;2204;;2138
Wörgl;<70531>;7064;;7339
Eben am Achensee;<70907>;1722;;1773
Fügen;<70909>;2084;;2231
Jenbach;<70917>;3705;;3787
Mayrhofen;<70920>;1936;;2018
Schwaz;<70926>;6977;;7234
Vomp;<70936>;2671;;2746
Bludenz;<80103>;7545;;7484
Bürs;<80106>;1682;;1736
Ludesch;<80115>;1859;;1818
Nenzing;<80116>;3262;;3140
Nüziders;<80117>;2418;;2572
Schruns;<80122>;1969;;2058
Egg;<80211>;1834;;1850
Mittelberg;<80228>;2553;;2574
Alberschwende;<80201>;1657;;1566
Bregenz;<80207>;14495;;15125
Fußach;<80213>;2018;;1914
Hard;<80215>;6784;;7002
Höchst;<80217>;4166;;4144
Hörbranz;<80218>;3256;;3418
Lauterach;<80224>;5221;;5212
Lochau;<80226>;3067;;3463
Schwarzach;<80235>;1937;;1961
Wolfurt;<80240>;4362;;4403
Dornbirn;<80301>;25492;;25730
Hohenems;<80302>;8563;;8676
Lustenau;<80303>;11806;;12037
Altach;<80401>;3419;;3551
Feldkirch;<80404>;17791;;18002
Frastanz;<80405>;3340;;3359
Göfis;<80407>;1658;;1669
Götzis;<80408>;6034;;6007
Klaus;<80409>;1533;;1540
Koblach;<80410>;2404;;2453
Mäder;<80412>;2120;;2063
Rankweil;<80414>;5935;;6215
Zwischenwasser;<80424>;1771;;1604
